x:402, y:  0, r:  162, g:  167, b:  160
x:403, y:  0, r:  161, g:  165, b:  158
x:404, y:  0, r:  158, g:  165, b:  158
x:405, y:  0, r:  159, g:  166, b:  159
x:406, y:  0, r:  161, g:  168, b:  161
x:407, y:  0, r:  160, g:  167, b:  160
x:408, y:  0, r:  161, g:  168, b:  161
x:409, y:  0, r:  157, g:  166, b:  158
x:410, y:  0, r:  159, g:  168, b:  160
x:411, y:  0, r:  159, g:  166, b:  159
x:412, y:  0, r:  158, g:  166, b:  158
x:413, y:  0, r:  162, g:  169, b:  162
x:414, y:  0, r:  161, g:  168, b:  161
x:415, y:  0, r:  160, g:  167, b:  160
x:416, y:  0, r:  161, g:  168, b:  161
x:417, y:  0, r:  160, g:  166, b:  160
x:418, y:  0, r:  162, g:  167, b:  161
x:419, y:  0, r:  161, g:  166, b:  160
x:420, y:  0, r:  162, g:  167, b:  160
x:421, y:  0, r:  160, g:  165, b:  158
x:422, y:  0, r:  163, g:  168, b:  161
x:423, y:  0, r:  162, g:  167, b:  160
x:424, y:  0, r:  162, g:  167, b:  160
x:425, y:  0, r:  160, g:  165, b:  158
x:426, y:  0, r:  159, g:  164, b:  157
x:427, y:  0, r:  160, g:  165, b:  158
x:428, y:  0, r:  162, g:  167, b:  160
x:429, y:  0, r:  162, g:  167, b:  160
x:430, y:  0, r:  161, g:  166, b:  160
x:431, y:  0, r:  162, g:  167, b:  161
x:432, y:  0, r:  160, g:  165, b:  161
x:433, y:  0, r:  161, g:  166, b:  160
x:434, y:  0, r:  159, g:  164, b:  156
x:435, y:  0, r:  158, g:  164, b:  154
x:436, y:  0, r:  159, g:  164, b:  158
x:437, y:  0, r:  160, g:  165, b:  160
x:438, y:  0, r:  161, g:  166, b:  162
x:439, y:  0, r:  161, g:  166, b:  161
x:440, y:  0, r:  164, g:  166, b:  159
x:441, y:  0, r:  162, g:  166, b:  159
x:442, y:  0, r:  162, g:  167, b:  160
x:443, y:  0, r:  163, g:  168, b:  161
x:444, y:  0, r:  165, g:  168, b:  161
x:445, y:  0, r:  163, g:  166, b:  159
x:446, y:  0, r:  161, g:  166, b:  159
x:447, y:  0, r:  162, g:  167, b:  160
x:448, y:  0, r:  162, g:  167, b:  160
x:449, y:  0, r:  160, g:  165, b:  158
x:450, y:  0, r:  161, g:  166, b:  159
x:451, y:  0, r:  161, g:  166, b:  159
x:452, y:  0, r:  160, g:  165, b:  158
x:453, y:  0, r:  161, g:  166, b:  159
x:454, y:  0, r:  161, g:  166, b:  160
x:455, y:  0, r:  161, g:  166, b:  160
x:456, y:  0, r:  162, g:  167, b:  160
x:457, y:  0, r:  162, g:  167, b:  160
x:458, y:  0, r:  162, g:  167, b:  161
x:459, y:  0, r:  161, g:  166, b:  160
x:460, y:  0, r:  162, g:  167, b:  160
x:461, y:  0, r:  160, g:  165, b:  158
x:462, y:  0, r:  160, g:  165, b:  158
x:463, y:  0, r:  161, g:  166, b:  159
x:464, y:  0, r:  162, g:  167, b:  160
x:465, y:  0, r:  159, g:  164, b:  157
x:466, y:  0, r:  161, g:  166, b:  159
x:467, y:  0, r:  161, g:  166, b:  159
x:468, y:  0, r:  162, g:  167, b:  160
x:469, y:  0, r:  165, g:  168, b:  161
x:470, y:  0, r:  165, g:  168, b:  161
x:471, y:  0, r:  165, g:  168, b:  161
x:472, y:  0, r:  163, g:  166, b:  159
x:473, y:  0, r:  163, g:  166, b:  159
x:474, y:  0, r:  162, g:  165, b:  158
x:475, y:  0, r:  161, g:  164, b:  157
x:476, y:  0, r:  163, g:  166, b:  159
x:477, y:  0, r:  162, g:  165, b:  158
x:478, y:  0, r:  162, g:  165, b:  158
