x:424, y:  0, r:   22, g:   24, b:   36
x:425, y:  0, r:   22, g:   24, b:   36
x:426, y:  0, r:   20, g:   23, b:   35
x:427, y:  0, r:   21, g:   25, b:   37
x:428, y:  0, r:   22, g:   25, b:   35
x:429, y:  0, r:   23, g:   27, b:   36
x:430, y:  0, r:   22, g:   25, b:   32
x:431, y:  0, r:   23, g:   27, b:   34
x:432, y:  0, r:   23, g:   28, b:   34
x:433, y:  0, r:   23, g:   28, b:   34
x:434, y:  0, r:   22, g:   27, b:   33
x:435, y:  0, r:   22, g:   27, b:   33
x:436, y:  0, r:   22, g:   27, b:   33
x:437, y:  0, r:   22, g:   27, b:   33
x:438, y:  0, r:   23, g:   28, b:   34
x:439, y:  0, r:   24, g:   29, b:   35
x:440, y:  0, r:   24, g:   29, b:   35
x:441, y:  0, r:   24, g:   28, b:   34
x:442, y:  0, r:   23, g:   29, b:   35
x:443, y:  0, r:   22, g:   29, b:   35
x:444, y:  0, r:   23, g:   28, b:   34
x:445, y:  0, r:   24, g:   28, b:   35
x:446, y:  0, r:   23, g:   28, b:   36
x:447, y:  0, r:   25, g:   29, b:   38
x:448, y:  0, r:   24, g:   28, b:   37
x:449, y:  0, r:   27, g:   30, b:   39
x:450, y:  0, r:   24, g:   27, b:   36
x:451, y:  0, r:   23, g:   28, b:   37
x:452, y:  0, r:   25, g:   29, b:   38
x:453, y:  0, r:   26, g:   30, b:   39
x:454, y:  0, r:   26, g:   30, b:   39
x:455, y:  0, r:   25, g:   29, b:   38
x:456, y:  0, r:   26, g:   29, b:   38
x:457, y:  0, r:   27, g:   30, b:   39
x:458, y:  0, r:   26, g:   29, b:   38
x:459, y:  0, r:   27, g:   30, b:   39
x:460, y:  0, r:   27, g:   29, b:   38
x:461, y:  0, r:   27, g:   29, b:   41
x:462, y:  0, r:   27, g:   29, b:   41
x:463, y:  0, r:   27, g:   29, b:   41
x:464, y:  0, r:   27, g:   29, b:   41
x:465, y:  0, r:   25, g:   27, b:   39
x:466, y:  0, r:   27, g:   29, b:   40
x:467, y:  0, r:   27, g:   29, b:   40
x:468, y:  0, r:   26, g:   30, b:   38
x:469, y:  0, r:   27, g:   30, b:   39
x:470, y:  0, r:   26, g:   29, b:   38
x:471, y:  0, r:   27, g:   30, b:   39
x:472, y:  0, r:   26, g:   29, b:   38
x:473, y:  0, r:   24, g:   28, b:   37
